"age","insured_sex","policy_state","policy_csl","incident_type","incident_severity","collision_type","authorities_contacted","total_claim_amount","fraud_reported","haute_reclamation","jeune_conducteur","prob_reclam"
64,"MALE","IN","250/500","Single Vehicle Collision","Major Damage","Front Collision","Fire",70900,"N",1,0,0.283018867924528
25,"FEMALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Other",65100,"N",1,0,0.27930174563591
40,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Ambulance",64260,"N",1,0,0.27930174563591
43,"FEMALE","IL","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Ambulance",79970,"Y",1,0,0.283018867924528
41,"FEMALE","IN","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Police",56610,"N",1,0,0.283018867924528
30,"FEMALE","IN","500/1000","Single Vehicle Collision","Major Damage","Side Collision","Fire",84590,"Y",1,0,0.283018867924528
38,"MALE","OH","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Fire",66780,"N",1,0,0.27930174563591
36,"MALE","IN","100/300","Single Vehicle Collision","Major Damage","Rear Collision","Police",58500,"N",1,0,0.283018867924528
41,"FEMALE","IL","250/500","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",54450,"N",1,0,0.27930174563591
38,"FEMALE","OH","250/500","Multi-vehicle Collision","Major Damage","Front Collision","Police",61920,"N",1,0,0.27930174563591
29,"MALE","OH","250/500","Single Vehicle Collision","Minor Damage","Side Collision","Ambulance",43700,"Y",1,0,0.283018867924528
31,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Other",64080,"N",1,0,0.283018867924528
35,"MALE","IL","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Other",55000,"Y",1,0,0.283018867924528
27,"MALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Police",71640,"N",1,0,0.27930174563591
44,"MALE","OH","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Other",61740,"N",1,0,0.283018867924528
27,"FEMALE","OH","500/1000","Single Vehicle Collision","Total Loss","Side Collision","Ambulance",57500,"N",1,0,0.283018867924528
46,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Police",77100,"N",1,0,0.27930174563591
57,"MALE","IL","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Police",59400,"N",1,0,0.283018867924528
46,"MALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Fire",54890,"N",1,0,0.27930174563591
30,"MALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Other",74030,"N",1,0,0.27930174563591
42,"FEMALE","IL","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Other",61490,"N",1,0,0.283018867924528
27,"MALE","IN","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Police",79560,"N",1,0,0.27930174563591
34,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Other",77770,"N",1,0,0.27930174563591
43,"FEMALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Fire",74700,"Y",1,0,0.27930174563591
26,"MALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Front Collision","Police",40600,"N",1,0,0.27930174563591
28,"MALE","OH","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",45270,"N",1,0,0.283018867924528
36,"FEMALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Front Collision","Ambulance",47080,"N",1,0,0.27930174563591
57,"FEMALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Police",40700,"Y",1,0,0.283018867924528
27,"FEMALE","OH","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Police",34650,"N",1,0,0.283018867924528
42,"MALE","IL","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Fire",78980,"Y",1,0,0.283018867924528
60,"FEMALE","IN","100/300","Single Vehicle Collision","Major Damage","Front Collision","Ambulance",85250,"N",1,0,0.283018867924528
50,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Fire",72840,"N",1,0,0.27930174563591
39,"FEMALE","IN","250/500","Single Vehicle Collision","Major Damage","Front Collision","Fire",87890,"Y",1,0,0.283018867924528
47,"FEMALE","IL","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Other",60500,"Y",1,0,0.27930174563591
35,"FEMALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Fire",88220,"N",1,0,0.27930174563591
37,"FEMALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Rear Collision","Other",53680,"N",1,0,0.27930174563591
45,"MALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Front Collision","Fire",53800,"N",1,0,0.283018867924528
29,"FEMALE","OH","100/300","Single Vehicle Collision","Major Damage","Rear Collision","Police",54360,"Y",1,0,0.283018867924528
35,"FEMALE","IL","500/1000","Single Vehicle Collision","Major Damage","Side Collision","Police",54340,"N",1,0,0.283018867924528
34,"FEMALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",50800,"Y",1,0,0.27930174563591
48,"MALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",41520,"N",1,0,0.27930174563591
55,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Police",39690,"N",1,0,0.27930174563591
32,"FEMALE","IL","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Ambulance",62260,"N",1,0,0.283018867924528
38,"FEMALE","IL","250/500","Single Vehicle Collision","Major Damage","Side Collision","Police",51920,"Y",1,0,0.283018867924528
40,"MALE","IL","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Other",53460,"N",1,0,0.283018867924528
43,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",57100,"N",1,0,0.27930174563591
36,"MALE","IN","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Ambulance",77440,"N",1,0,0.27930174563591
40,"MALE","IL","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Ambulance",68300,"N",1,0,0.283018867924528
32,"MALE","IL","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Ambulance",59400,"Y",1,0,0.27930174563591
31,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",69930,"Y",1,0,0.27930174563591
27,"FEMALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Front Collision","Police",77700,"N",1,0,0.27930174563591
54,"MALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Other",68750,"Y",1,0,0.27930174563591
20,"FEMALE","IN","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Other",48360,"N",1,1,0.283018867924528
39,"MALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Other",59400,"Y",1,0,0.27930174563591
43,"FEMALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",60210,"N",1,0,0.283018867924528
32,"MALE","IL","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Ambulance",43600,"N",1,0,0.283018867924528
57,"MALE","IN","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Police",62800,"N",1,0,0.27930174563591
48,"MALE","OH","250/500","Single Vehicle Collision","Major Damage","Side Collision","Ambulance",59500,"N",1,0,0.283018867924528
37,"FEMALE","OH","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Police",53460,"N",1,0,0.27930174563591
33,"FEMALE","IL","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Ambulance",41690,"N",1,0,0.27930174563591
46,"FEMALE","OH","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Ambulance",63100,"N",1,0,0.283018867924528
60,"MALE","OH","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",62880,"Y",1,0,0.283018867924528
51,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Fire",75400,"Y",1,0,0.27930174563591
40,"MALE","OH","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",46200,"N",1,0,0.283018867924528
47,"MALE","IN","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Ambulance",58500,"N",1,0,0.283018867924528
57,"MALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Other",66240,"N",1,0,0.27930174563591
36,"FEMALE","IN","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Ambulance",65440,"N",1,0,0.27930174563591
43,"MALE","IL","500/1000","Single Vehicle Collision","Minor Damage","Front Collision","Fire",64200,"N",1,0,0.283018867924528
25,"FEMALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",32320,"N",1,0,0.27930174563591
28,"FEMALE","IL","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Police",33480,"N",1,0,0.283018867924528
29,"MALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Front Collision","Ambulance",57970,"N",1,0,0.27930174563591
45,"FEMALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Fire",69300,"N",1,0,0.27930174563591
30,"FEMALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Police",32480,"N",1,0,0.27930174563591
38,"MALE","IN","100/300","Single Vehicle Collision","Total Loss","Front Collision","Police",60480,"N",1,0,0.283018867924528
43,"MALE","OH","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Ambulance",42700,"Y",1,0,0.27930174563591
47,"MALE","IN","250/500","Single Vehicle Collision","Major Damage","Front Collision","Ambulance",40260,"Y",1,0,0.283018867924528
50,"MALE","OH","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Fire",50000,"N",1,0,0.283018867924528
47,"MALE","IN","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Ambulance",56160,"N",1,0,0.27930174563591
42,"MALE","OH","100/300","Single Vehicle Collision","Major Damage","Side Collision","Police",63030,"N",1,0,0.283018867924528
41,"FEMALE","IL","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Police",63470,"N",1,0,0.283018867924528
38,"FEMALE","IL","250/500","Single Vehicle Collision","Major Damage","Front Collision","Police",44440,"Y",1,0,0.283018867924528
36,"MALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Ambulance",77200,"N",1,0,0.27930174563591
30,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Other",57000,"N",1,0,0.27930174563591
36,"MALE","OH","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Police",47300,"N",1,0,0.283018867924528
37,"FEMALE","OH","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Other",55110,"N",1,0,0.283018867924528
38,"FEMALE","OH","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Police",68760,"Y",1,0,0.27930174563591
31,"FEMALE","IL","250/500","Multi-vehicle Collision","Major Damage","Front Collision","Other",74400,"Y",1,0,0.27930174563591
33,"FEMALE","OH","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",35300,"Y",1,0,0.27930174563591
41,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Ambulance",60190,"Y",1,0,0.27930174563591
39,"FEMALE","IL","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",41580,"Y",1,0,0.27930174563591
45,"FEMALE","IN","250/500","Single Vehicle Collision","Minor Damage","Side Collision","Ambulance",58500,"Y",1,0,0.283018867924528
43,"FEMALE","IN","500/1000","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",79320,"N",1,0,0.283018867924528
33,"FEMALE","OH","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",82610,"Y",1,0,0.283018867924528
41,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Ambulance",78600,"Y",1,0,0.27930174563591
46,"MALE","OH","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Ambulance",51390,"Y",1,0,0.283018867924528
44,"MALE","IN","500/1000","Single Vehicle Collision","Major Damage","Side Collision","Ambulance",70200,"Y",1,0,0.283018867924528
62,"FEMALE","OH","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Other",66480,"Y",1,0,0.27930174563591
23,"MALE","OH","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Fire",50380,"Y",1,1,0.283018867924528
61,"FEMALE","IL","500/1000","Single Vehicle Collision","Major Damage","Front Collision","Fire",64350,"N",1,0,0.283018867924528
29,"MALE","IN","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Ambulance",55400,"Y",1,0,0.27930174563591
28,"MALE","OH","100/300","Single Vehicle Collision","Total Loss","Front Collision","Other",49900,"N",1,0,0.283018867924528
28,"MALE","OH","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Ambulance",74880,"N",1,0,0.27930174563591
58,"MALE","IN","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",55800,"N",1,0,0.283018867924528
41,"FEMALE","OH","100/300","Single Vehicle Collision","Major Damage","Side Collision","Ambulance",85900,"Y",1,0,0.283018867924528
43,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Fire",36960,"N",1,0,0.27930174563591
39,"FEMALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",64400,"N",1,0,0.27930174563591
22,"MALE","IN","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Police",86130,"Y",1,1,0.283018867924528
32,"FEMALE","IL","250/500","Single Vehicle Collision","Major Damage","Side Collision","Fire",82170,"Y",1,0,0.283018867924528
41,"FEMALE","IN","100/300","Single Vehicle Collision","Major Damage","Front Collision","Fire",50300,"Y",1,0,0.283018867924528
31,"FEMALE","IN","250/500","Single Vehicle Collision","Major Damage","Side Collision","Police",44200,"N",1,0,0.283018867924528
43,"FEMALE","IN","100/300","Single Vehicle Collision","Major Damage","Side Collision","Ambulance",66660,"N",1,0,0.283018867924528
26,"FEMALE","OH","250/500","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",78320,"N",1,0,0.283018867924528
43,"MALE","IN","250/500","Single Vehicle Collision","Minor Damage","Side Collision","Fire",50700,"N",1,0,0.283018867924528
45,"FEMALE","IL","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Fire",51210,"N",1,0,0.27930174563591
48,"MALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",51840,"N",1,0,0.27930174563591
33,"FEMALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Front Collision","Ambulance",52800,"N",1,0,0.27930174563591
42,"FEMALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Front Collision","Fire",55200,"N",1,0,0.283018867924528
51,"FEMALE","IN","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Other",67600,"N",1,0,0.27930174563591
33,"MALE","OH","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Other",40800,"N",1,0,0.283018867924528
50,"MALE","IN","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Other",84500,"Y",1,0,0.27930174563591
39,"MALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Other",71610,"Y",1,0,0.27930174563591
55,"MALE","IN","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Other",60600,"Y",1,0,0.27930174563591
41,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",81240,"Y",1,0,0.27930174563591
39,"FEMALE","OH","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Fire",29300,"N",1,0,0.27930174563591
31,"FEMALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Fire",76450,"N",1,0,0.27930174563591
44,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Fire",49400,"N",1,0,0.27930174563591
40,"FEMALE","IL","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Fire",63900,"N",1,0,0.283018867924528
55,"MALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Fire",38640,"N",1,0,0.27930174563591
58,"MALE","IN","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Other",41490,"N",1,0,0.27930174563591
35,"FEMALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",79090,"N",1,0,0.27930174563591
35,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Police",87900,"N",1,0,0.27930174563591
32,"MALE","IL","500/1000","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",53400,"N",1,0,0.283018867924528
36,"MALE","OH","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Fire",52030,"N",1,0,0.283018867924528
60,"MALE","IN","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Ambulance",82060,"N",1,0,0.283018867924528
35,"FEMALE","OH","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Ambulance",48360,"N",1,0,0.283018867924528
31,"FEMALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Other",52290,"N",1,0,0.27930174563591
57,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Police",68200,"Y",1,0,0.27930174563591
43,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Other",60750,"Y",1,0,0.27930174563591
30,"FEMALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Fire",65560,"Y",1,0,0.27930174563591
50,"FEMALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",70290,"N",1,0,0.27930174563591
37,"FEMALE","OH","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",45000,"N",1,0,0.283018867924528
39,"FEMALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",61800,"N",1,0,0.27930174563591
46,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",64570,"N",1,0,0.27930174563591
61,"FEMALE","IL","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Other",70500,"N",1,0,0.283018867924528
37,"MALE","IL","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Police",57900,"N",1,0,0.27930174563591
46,"FEMALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Fire",57860,"N",1,0,0.27930174563591
39,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Fire",37800,"N",1,0,0.283018867924528
37,"FEMALE","OH","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",63300,"N",1,0,0.283018867924528
33,"FEMALE","IN","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Ambulance",44200,"N",1,0,0.27930174563591
28,"MALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Police",31680,"N",1,0,0.27930174563591
61,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Fire",56340,"N",1,0,0.283018867924528
40,"FEMALE","IN","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Police",69740,"N",1,0,0.27930174563591
38,"MALE","IL","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Police",60480,"N",1,0,0.27930174563591
61,"FEMALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",80880,"N",1,0,0.27930174563591
61,"FEMALE","IN","250/500","Single Vehicle Collision","Total Loss","Front Collision","Fire",49390,"N",1,0,0.283018867924528
29,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Ambulance",69360,"N",1,0,0.283018867924528
48,"FEMALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Front Collision","Police",35860,"Y",1,0,0.27930174563591
40,"MALE","IN","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",50050,"Y",1,0,0.27930174563591
27,"MALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Fire",59070,"N",1,0,0.27930174563591
30,"MALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Fire",28440,"N",1,0,0.27930174563591
34,"FEMALE","IL","250/500","Single Vehicle Collision","Major Damage","Front Collision","Fire",45540,"Y",1,0,0.283018867924528
34,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",38700,"N",1,0,0.283018867924528
32,"FEMALE","IL","500/1000","Single Vehicle Collision","Total Loss","Rear Collision","Other",57240,"Y",1,0,0.283018867924528
39,"MALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Police",46200,"N",1,0,0.27930174563591
32,"FEMALE","IN","100/300","Single Vehicle Collision","Total Loss","Side Collision","Ambulance",57700,"N",1,0,0.283018867924528
48,"MALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Fire",56160,"N",1,0,0.27930174563591
47,"MALE","IN","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Fire",44400,"N",1,0,0.27930174563591
33,"FEMALE","OH","250/500","Single Vehicle Collision","Minor Damage","Side Collision","Fire",30700,"N",1,0,0.283018867924528
24,"FEMALE","OH","250/500","Single Vehicle Collision","Major Damage","Side Collision","Fire",56600,"N",1,1,0.283018867924528
30,"MALE","IL","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Police",34800,"N",1,0,0.283018867924528
36,"FEMALE","IN","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Other",79500,"N",1,0,0.27930174563591
34,"FEMALE","IN","250/500","Single Vehicle Collision","Total Loss","Front Collision","Police",56000,"N",1,0,0.283018867924528
29,"FEMALE","IN","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",73260,"Y",1,0,0.283018867924528
42,"MALE","IN","500/1000","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",48000,"N",1,0,0.283018867924528
37,"MALE","IN","250/500","Single Vehicle Collision","Major Damage","Side Collision","Fire",52200,"N",1,0,0.283018867924528
38,"FEMALE","IN","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",73800,"N",1,0,0.27930174563591
34,"FEMALE","IL","250/500","Single Vehicle Collision","Total Loss","Side Collision","Fire",78200,"N",1,0,0.283018867924528
33,"MALE","IN","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Ambulance",55200,"Y",1,0,0.283018867924528
43,"FEMALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Other",57060,"N",1,0,0.27930174563591
56,"FEMALE","IN","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Ambulance",53100,"Y",1,0,0.283018867924528
25,"FEMALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Front Collision","Ambulance",72900,"N",1,0,0.27930174563591
38,"FEMALE","IN","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Police",70700,"N",1,0,0.283018867924528
30,"FEMALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Other",60170,"N",1,0,0.27930174563591
42,"MALE","IN","100/300","Single Vehicle Collision","Major Damage","Rear Collision","Other",74800,"Y",1,0,0.283018867924528
47,"MALE","IN","250/500","Single Vehicle Collision","Minor Damage","Side Collision","Other",61490,"N",1,0,0.283018867924528
34,"FEMALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",45100,"N",1,0,0.27930174563591
53,"MALE","OH","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Police",66660,"N",1,0,0.283018867924528
41,"FEMALE","OH","500/1000","Single Vehicle Collision","Major Damage","Front Collision","Police",76400,"Y",1,0,0.283018867924528
37,"FEMALE","IN","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",58300,"N",1,0,0.283018867924528
49,"FEMALE","IL","100/300","Single Vehicle Collision","Total Loss","Front Collision","Police",57310,"N",1,0,0.283018867924528
32,"FEMALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Front Collision","Fire",53100,"N",1,0,0.283018867924528
24,"FEMALE","OH","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Ambulance",74700,"N",1,1,0.27930174563591
28,"FEMALE","OH","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",60500,"N",1,0,0.27930174563591
26,"MALE","OH","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Other",84920,"Y",1,0,0.27930174563591
36,"FEMALE","IL","500/1000","Single Vehicle Collision","Total Loss","Side Collision","Police",61050,"N",1,0,0.283018867924528
26,"MALE","IL","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Police",69080,"Y",1,0,0.27930174563591
28,"FEMALE","IN","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Police",67800,"N",1,0,0.27930174563591
43,"FEMALE","IN","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Police",85320,"N",1,0,0.283018867924528
34,"FEMALE","OH","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Fire",51370,"Y",1,0,0.27930174563591
43,"MALE","OH","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Police",51600,"N",1,0,0.283018867924528
39,"MALE","OH","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Fire",48870,"N",1,0,0.27930174563591
48,"MALE","IL","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Other",54960,"Y",1,0,0.27930174563591
47,"FEMALE","OH","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Police",39800,"N",1,0,0.27930174563591
37,"FEMALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",56160,"Y",1,0,0.27930174563591
42,"MALE","IN","100/300","Single Vehicle Collision","Total Loss","Side Collision","Fire",52700,"N",1,0,0.283018867924528
43,"FEMALE","OH","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",68580,"N",1,0,0.27930174563591
43,"MALE","OH","250/500","Single Vehicle Collision","Major Damage","Side Collision","Ambulance",46800,"Y",1,0,0.283018867924528
47,"FEMALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Fire",56320,"N",1,0,0.27930174563591
46,"MALE","OH","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Fire",83490,"N",1,0,0.283018867924528
36,"FEMALE","IN","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Police",57900,"N",1,0,0.27930174563591
36,"MALE","IN","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",49410,"N",1,0,0.27930174563591
45,"MALE","OH","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",66200,"N",1,0,0.27930174563591
46,"MALE","OH","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Fire",64080,"N",1,0,0.283018867924528
43,"FEMALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Other",42500,"N",1,0,0.27930174563591
30,"MALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Other",48950,"N",1,0,0.27930174563591
42,"FEMALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Other",58850,"N",1,0,0.27930174563591
40,"FEMALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Other",82400,"N",1,0,0.27930174563591
44,"FEMALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",54240,"N",1,0,0.283018867924528
26,"FEMALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Other",74200,"N",1,0,0.27930174563591
53,"FEMALE","IL","100/300","Single Vehicle Collision","Total Loss","Front Collision","Fire",47430,"N",1,0,0.283018867924528
43,"FEMALE","IL","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Fire",68200,"Y",1,0,0.283018867924528
33,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Fire",63900,"N",1,0,0.283018867924528
39,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Ambulance",59300,"N",1,0,0.27930174563591
44,"FEMALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Other",66900,"Y",1,0,0.27930174563591
